Title,US Gross,,,,
Ghostbusters,238632124,,,,
Girl 6,4880941,,,,
Goldeneye,106429941,,,,
The Glimmer Man,20404841,,,,
Glory,26593580,,,,
The Gambler,51773,,,,
Good Morning Vietnam,123922370,,,,
Gandhi,52767889,,,,
A Guy Named Joe,5363000,,,,
Gentleman's Agreement,7800000,,,,
Goodbye Bafana,0,,,,
Get on the Bus,5691854,,,,
The Golden Child,79817937,,,,
Good Dick,28835,,,,
Goldfinger,51100000,,,,
Groundhog Day,70906973,,,,
Gremlins,148168459,,,,
Get Real,1152411,,,,
Gremlins 2: The New Batch,41476097,,,,
The Greatest Story Ever Told,15473333,,,,
The Gospel of John,4068087,,,,
The Greatest Show on Earth,36000000,,,,
The First Great Train Robbery,391942,,,,
Get Shorty,72021008,,,,
Gettysburg,10731997,,,,
Guiana 1838,227241,,,,
Gone with the Wind,198680470,,,,
Happiness,2746453,,,,
Harley Davidson and the Marlboro Man,7018525,,,,
Heavy Metal,19571091,,,,
Hell's Angels,Unknown,,,,
Heartbeeps,6000000,,,,
The Helix...  Loaded,3700,,,,
Hang 'em High,6800000,,,,
Hellraiser,14564000,,,,
Hero,19487173,,,,
Highlander III: The Sorcerer,13738574,,,,
Highlander,5900000,,,,
How Green Was My Valley,0,,,,
High Noon,8000000,,,,
History of the World: Part I,31672000,,,,
"Hello, Dolly",33208099,,,,
Halloween II,25533818,,,,
Halloween 3: Season of the Witch,14400000,,,,
Halloween 4: The Return of Michael Myers,17768757,,,,
Halloween 5: The Revenge of Michael Myers,11642254,,,,
Halloween:  The Curse of Michael Myers,15126948,,,,
Halloween,47000000,,,,
Home Alone 2: Lost in New York,173585516,,,,
Home Alone,285761243,,,,
Home Movies,89134,,,,
Hum to Mohabbt Karega,121807,,,,
The Hotel New Hampshire,5142858,,,,
Henry V,10161099,,,,
Housefull,1183658,,,,
Hook,119654823,,,,
House Party 2,19438638,,,,
Hocus Pocus,39360491,,,,
The Howling,17985000,,,,
High Plains Drifter,15700000,,,,
Hoop Dreams,7768371,,,,
Happy Gilmore,38623460,,,,
The Hudsucker Proxy,2816518,,,,
A Hard Day's Night,12299668,,,,
Heroes,655538,,,,
The Hunt for Red October,120709866,,,,
Harper,12000000,,,,
Harriet the Spy,26570048,,,,
Le hussard sur le toit,1320043,,,,
The Hustler,7600000,,,,
Hud,10000000,,,,
Hudson Hawk,17218916,,,,
Heaven's Gate,3484331,,,,
Hav Plenty,2301777,,,,
House of Wax,23800000,,,,
Hawaii,34562222,,,,
Howard the Duck,16295774,,,,
High Anxiety,31063038,,,,
Hybrid,162605,,,,
It's a Wonderful Life,6600000,,,,
The Ice Pirates,13075390,,,,
Independence Day,306169255,,,,
The Island of Dr. Moreau,27682712,,,,
Iraq for Sale: The War Profiteers,0,,,,
In Her Line of Fire,884,,,,
The Indian in the Cupboard,35627222,,,,
I Love You Ö Don't Touch Me!,33598,,,,
Illuminata,836641,,,,
In Cold Blood,13000000,,,,
In the Company of Men,2883661,,,,
The Inkwell,8864699,,,,
Invaders from Mars,4884663,,,,
L'incomparable mademoiselle C.,493905,,,,
Intolerance,Unknown,,,,
The Island,15716828,,,,
Eye See You,79161,,,,
In the Heat of the Night,24379978,,,,
Jack,58617334,,,,
Jade,9812870,,,,
Jingle All the Way,60592389,,,,
Dr. No,16067035,,,,
The Jungle Book,44342956,,,,
Judge Dredd,34687912,,,,
The Jerky Boys,7555256,,,,
Jefferson in Paris,2461628,,,,
JFK,70405498,,,,
Journey from the Fall,635305,,,,
Jekyll and Hyde... Together Again,3707583,,,,
Jumanji,100458310,,,,
The Juror,22730924,,,,
Jerusalema,7294,,,,
Jurassic Park,357067947,,,,
Johnny Suede,55000,,,,
Jaws,260000000,,,,
Jaws 2,102922376,,,,
Jaws 4: The Revenge,15728335,,,,
Kabhi Alvida Naa Kehna,3275443,,,,
Kickboxer,14533681,,,,
Kids,7412216,,,,
Kingpin,25023424,,,,
Kindergarten Cop,91457688,,,,
King Kong (1933),10000000,,,,
King Kong,52614445,,,,
Kiss of Death,14942422,,,,
The Kings of Appletown,0,,,,
Koltchak,0,,,,
Kingdom of the Spiders,17000000,,,,
Keeping it Real: The Adventures of Greg Walloch,1358,,,,
Akira,19585,,,,
Krush Groove,11052713,,,,
Krrish,1430721,,,,
Kansas City,1353824,,,,
The Last Emperor,43984000,,,,
Last Action Hero,50016394,,,,
Live and Let Die,35400000,,,,
Lage Raho Munnabhai,2217561,,,,
The Last Waltz,321952,,,,
The Last Big Thing,22434,,,,
The Land Before Time,48092846,,,,
The Longest Day,39100000,,,,
The Living Daylights,51185000,,,,
Aladdin,217350219,,,,
A Low Down Dirty Shame,29317886,,,,
Love and Death on Long Island,2542264,,,,
Ladyhawke,18400000,,,,
Nikita,5017971,,,,
Lion of the Desert,1500000,,,,
Legal Eagles,49851591,,,,
Legend,15502112,,,,
The Last House on the Left,3100000,,,,
Lifeforce,11603545,,,,
Lady in White,1705139,,,,
The Long Kiss Goodnight,33447612,,,,
Lake of Fire,25317,,,,
Elling,313436,,,,
Lolita (1962),9250000,,,,
Elmer Gantry,10400000,,,,
El Mariachi,2040920,,,,
Last Man Standing,18115927,,,,
Aliens,85160248,,,,
Alien³,54927174,,,,
The Lion King,328539505,,,,
Love and Death,20123742,,,,
Love and Other Catastrophes,212285,,,,
Love Letters,5269990,,,,
The Legend of the Lone Ranger,13400000,,,,
The Last of the Mohicans,72455275,,,,
Love Me Tender,9000000,,,,
The Long Riders,15198912,,,,
Losin' It,1246141,,,,
The Loss of Sexual Innocence,399793,,,,
Legends of the Fall,66502573,,,,
A League of Their Own,107533925,,,,
Loaded Weapon 1,27979399,,,,
The Lost Weekend,11000000,,,,
Le petit Nicolas,201857,,,,
Logan's Run,25000000,,,,
Betty Fisher et autres histoires,206400,,,,
Light Sleeper,1050861,,,,
Little Shop of Horrors,38747385,,,,
Lone Star,12961389,,,,
Latter Days,833118,,,,
Lethal Weapon,65192350,,,,
Lethal Weapon 3,144731527,,,,
The Last Time I Committed Suicide,12836,,,,
Little Voice,4595000,,,,
The Last Temptation of Christ,8373585,,,,
License to Kill,34667015,,,,
Cama adentro,200433,,,,
Leaving Las Vegas,31983777,,,,
The Lawnmower Man,32100816,,,,
Lone Wolf McQuade,12232628,,,,
Little Women,50003303,,,,
Lawrence of Arabia,37495385,,,,
Menace II Society,27731527,,,,
Much Ado About Nothing,22549338,,,,
Major Dundee,14873,,,,
The Magic Flute,0,,,,
Mata Hari,900000,,,,
Malcolm X,48169910,,,,
Maniac,10000000,,,,
Mary Poppins,102300000,,,,
Mary Reilly,5707094,,,,
Maximum Risk,14102929,,,,
M*A*S*H,81600000,,,,
The Mask,119920129,,,,
Mars Attacks!,37771017,,,,
Mo' Better Blues,16153000,,,,
Moby Dick,10400000,,,,
My Beautiful Laundrette,0,,,,
Michael Jordan to the MAX,18642318,,,,
Michael Collins,11092559,,,,
My Cousin Vinny,52929168,,,,
Medicine Man,44948240,,,,
Madadayo,48856,,,,
Modern Problems,24474312,,,,
Amadeus,51973029,,,,
Modern Times,163245,,,,
The Mighty Ducks,50752337,,,,
A Man for All Seasons,28350000,,,,
Megaforce,5675599,,,,
The Mirror Has Two Faces,41267469,,,,
Midnight Cowboy,44785053,,,,
Midnight Run,38413606,,,,
Major League,49793054,,,,
The Molly Maguires,2200000,,,,
Malevolence,126021,,,,
Mad Max 2: The Road Warrior,24600832,,,,
It's a Mad Mad Mad Mad World,46300000,,,,
Mad Max,8750000,,,,
Mad Max Beyond Thunderdome,36230219,,,,
The Man From Snowy River,20659423,,,,
Men of War,0,,,,
Monty Python and the Holy Grail,3427696,,,,
Men with Brooms,4239767,,,,
Mutiny on The Bounty,13680000,,,,
Mommie Dearest,19032000,,,,
March or Die,1000000,,,,
Memoirs of an Invisible Man,14358033,,,,
The Mongol King,900,,,,
My Own Private Idaho,6401336,,,,
Moonraker,70300000,,,,
Money Train,35324232,,,,
Metropolitan,2938000,,,,
The Life of Brian,20008693,,,,
Mallrats,2108367,,,,
American Desi,902835,,,,
Mrs. Winterbourne,10039566,,,,
Mrs. Doubtfire,219195051,,,,
Mr. Smith Goes To Washington,9000000,,,,
Mortal Kombat,70433227,,,,
Frankenstein,22006296,,,,
The Misfits,8200000,,,,
My Stepmother Is an Alien,13854000,,,,
The Man Who Shot Liberty Valance,8000000,,,,
Mission: Impossible,180981886,,,,
Meteor,8400000,,,,
Multiplicity,20133326,,,,
Mutual Appreciation,103509,,,,
The Muppet Christmas Carol,27281507,,,,
The Man with the Golden Gun,21000000,,,,
My Fair Lady,72000000,,,,
Mystic Pizza,12793213,,,,
Namastey London,1207007,,,,
Naturally Native,10508,,,,
Inchon,4408636,,,,
Indiana Jones and the Temple of Doom,179880271,,,,
