name,parent,value
Origin,,
14533681,Starter,Action
7412216,Starter,Drama
25023424,Starter,Comedy
91457688,Starter,Comedy
10000000,,
52614445,,
14942422,Starter,Drama
0,Starter,Action
0,,
17000000,,
1358,,
19585,Starter,Action
11052713,Starter,Drama
1430721,Starter,Action
1353824,Starter,Drama
43984000,Starter,Drama
50016394,Starter,Action
35400000,Starter,Action
2217561,Starter,Comedy
321952,,
22434,,
48092846,Starter,Adventure
39100000,Starter,Action
51185000,Starter,Action
217350219,Starter,Comedy
29317886,Starter,Action
2542264,Starter,Drama
18400000,Starter,Action
5017971,Starter,Thriller/Suspense
1500000,,
49851591,Starter,Comedy
15502112,Starter,Adventure
3100000,,
11603545,Starter,Horror
1705139,Starter,Horror
33447612,Starter,Action
25317,Starter,Documentary
313436,,
9250000,Starter,Drama
10400000,,
2040920,Starter,Action
18115927,Starter,Action
85160248,Starter,Action
54927174,Starter,Action
328539505,Starter,Adventure
20123742,Starter,Comedy
212285,Starter,Comedy
5269990,Starter,Thriller/Suspense
13400000,Starter,Western
72455275,Starter,Action
9000000,,
15198912,Starter,Action
1246141,,
399793,,
66502573,Starter,Drama
107533925,Starter,Comedy
27979399,Starter,Comedy
11000000,,
201857,,
25000000,,
206400,Starter,Drama
1050861,,
38747385,Starter,Musical
12961389,Starter,Drama
833118,Starter,Drama
65192350,Starter,Action
144731527,Starter,Action
12836,,
4595000,Starter,Musical
8373585,Starter,Drama
34667015,Starter,Action
200433,Starter,Drama
31983777,Starter,Drama
32100816,Starter,Action
12232628,Starter,Action
50003303,Starter,Drama
37495385,Starter,Adventure
27731527,Starter,Action
22549338,Starter,Drama
14873,Starter,Western
0,,
900000,,
48169910,Starter,Drama
10000000,,
102300000,Starter,Musical
5707094,Starter,Drama
14102929,Starter,Action
81600000,,
119920129,Starter,Comedy
37771017,Starter,Comedy
16153000,Starter,Drama
10400000,Starter,Adventure
0,,
18642318,Starter,Documentary
11092559,Starter,Drama
52929168,Starter,Comedy
44948240,Starter,Drama
48856,Starter,Drama
24474312,Starter,Comedy
51973029,Starter,Drama
163245,Starter,Comedy
50752337,Starter,Comedy
28350000,,
5675599,Starter,Action
41267469,Starter,Romantic Comedy
44785053,,
38413606,Starter,Action
49793054,Starter,Comedy
2200000,,
126021,Starter,Horror
24600832,Starter,Action
46300000,,
8750000,Starter,Action
36230219,Starter,Action
20659423,Starter,Drama
0,,
3427696,,
4239767,Starter,Comedy
13680000,,
19032000,Starter,Drama
1000000,,
14358033,Starter,Comedy
900,Starter,Drama
6401336,Starter,Black Comedy
70300000,Starter,Action
35324232,Starter,Action
2938000,,
20008693,Starter,Comedy
2108367,Starter,Comedy
902835,Starter,Romantic Comedy
10039566,Starter,Romantic Comedy
219195051,Starter,Comedy
9000000,Starter,Drama
70433227,Starter,Action
22006296,Starter,Horror
8200000,,
13854000,Starter,Comedy
8000000,,
180981886,Starter,Action
8400000,,
20133326,Starter,Comedy
103509,Starter,Comedy
27281507,Starter,Comedy
21000000,Starter,Action
72000000,Starter,Musical
12793213,Starter,Comedy
1207007,Starter,Romantic Comedy
10508,,
4408636,Starter,Drama
179880271,Starter,Adventure
197171806,Starter,Adventure
100358,Starter,Drama
49369899,Starter,Horror
3386698,Starter,Romantic Comedy
14600000,Starter,Action
78716374,Starter,Drama
2500000,,
86930411,Starter,Comedy
51041856,Starter,Comedy
141600000,,
12000000,Starter,Horror
143273,,
12800000,,
25504513,Starter,Horror
21163999,Starter,Horror
44793222,Starter,Horror
22168359,Starter,Horror
34872033,Starter,Horror
18090181,Starter,Horror
5835247,Starter,Horror
24464742,,
55500000,Starter,Action
2119994,,
22189039,Starter,Action
105264608,Starter,Horror
128814019,Starter,Comedy
21300000,Starter,Adventure
47329,,
13668249,Starter,Drama
13800000,Starter,Musical
10763469,Starter,Drama
0,Starter,Action
67900000,Starter,Action
38590458,Starter,Action
108981275,,
1355728,Starter,Horror
22800000,Starter,Action
48570885,Starter,Horror
12610552,Starter,Action
79096868,Starter,Drama
419428,,
52302978,Starter,Drama
4720371,Starter,Drama
1987,Starter,Drama
2844379,Starter,Drama
49772,Starter,Drama
9600000,,
67823573,Starter,Thriller/Suspense
25697647,Starter,Drama
3607,Starter,Thriller/Suspense
81198894,Starter,Comedy
126247,Starter,Comedy
199228,,
41410568,Starter,Western
83287363,Starter,Action
5656388,Starter,Romantic Comedy
141579773,Starter,Adventure
5000000,,
4333569,Starter,Comedy
36000000,,
8000000,,
74706019,Starter,Horror
14114000,Starter,Horror
7000000,Starter,Horror
104636382,Starter,Drama
77324422,Starter,Drama
17220599,Starter,Action
3221152,Starter,Thriller/Suspense
413802,,
2956000,,
33395426,,
21706101,Starter,Black Comedy
172070496,Starter,Drama
137963328,Starter,Drama
779137,Starter,Drama
15382170,Starter,Adventure
881950,Starter,Thriller/Suspense
8231,,
287000,Starter,Drama
2104164,Starter,Adventure
27450453,Starter,Drama
109492484,Starter,Comedy
4930,Starter,Documentary
49823037,,
28317513,Starter,Action
59735548,Starter,Action
30857000,Starter,Adventure
354704,Starter,Horror
19284974,Starter,Thriller/Suspense
21000000,,
74787599,Starter,Drama
0,Starter,Drama
178406268,Starter,Romantic Comedy
0,Starter,Drama
12200000,,
41382841,Starter,Comedy
87400000,Starter,Adventure
57469179,Starter,Horror
62500000,,
194523,,
107928762,Starter,Drama
31678778,Starter,Musical
7000000,Starter,Comedy
2794056,Starter,Comedy
255000,Starter,Horror
18552460,Starter,Western
21413105,Starter,Western
20959585,Starter,Adventure
30000000,,
2197694,Starter,Drama
8000000,,
136492681,Starter,Action
33395426,,
6000000,Starter,Drama
165493908,Starter,Adventure
32281907,Starter,Action
31390587,Starter,Drama
23380203,Starter,Drama
2684904,Starter,Drama
21171695,Starter,Thriller/Suspense
53424681,Starter,Action
10696210,Starter,Action
38087756,Starter,Comedy
14792779,Starter,Comedy
4651977,Starter,Drama
2832029,,
245034358,Starter,Adventure
9012000,,
50000000,Starter,Drama
10019109,Starter,Drama
6905861,Starter,Action
309205079,Starter,Adventure
501752,Starter,Drama
401,Starter,Drama
6706368,Starter,Documentary
21500000,Starter,Action
139876417,Starter,Musical
30050028,Starter,Action
3275585,Starter,Drama
0,Starter,Drama
117235147,,
9205924,Starter,Horror
1111615,Starter,Comedy
24172899,Starter,Comedy
150415432,Starter,Action
53715611,Starter,Action
46338728,Starter,Drama
0,,
172825435,Starter,Comedy
305070,,
2000000,,
36000000,,
134069511,Starter,Action
22954968,Starter,Drama
83453539,Starter,Comedy
2300000,Starter,Comedy
164649,,
7000000,,
4100000,Starter,Drama
14237880,Starter,Horror
0,Starter,Comedy
1338,Starter,Documentary
10618813,Starter,Adventure
38122000,Starter,Action
7267324,Starter,Thriller/Suspense
9118,Starter,Thriller/Suspense
46815000,Starter,Action
100125643,Starter,Thriller/Suspense
21210,,
13417292,Starter,Drama
30356589,Starter,Comedy
53458319,Starter,Romantic Comedy
390659,Starter,Drama
14545844,Starter,Drama
44942821,Starter,Drama
96067179,Starter,Drama
8000000,,
2154540,Starter,Thriller/Suspense
381225,Starter,Documentary
30000000,Starter,Action
410919,Starter,Drama
2000000,,
0,Starter,Documentary
0,,
3500000,,
18195,Starter,Thriller/Suspense
0,Starter,Action
7137502,Starter,Comedy
71565669,Starter,Action
31835600,Starter,Action
11000000,,
25842377,Starter,Drama
2315000,,
2620000,,
5778353,Starter,Adventure
35811509,Starter,Drama
44017374,Starter,Horror
15024232,Starter,Adventure
14375181,Starter,Comedy
20254932,Starter,Drama
28241469,Starter,Drama
10803211,Starter,Horror
44701,Starter,Romantic Comedy
36049108,Starter,Drama
130726716,Starter,Thriller/Suspense
0,Starter,Black Comedy
76382,,
15171475,Starter,Horror
24475416,Starter,Drama
1227508,,
25000000,,
10359006,Starter,Drama
298347,Starter,Action
18344729,Starter,Comedy
53300852,Starter,Drama
13134,,
11000000,,
